Title,rating,nor,link
Munchers,4.6,820,https://www.google.com/maps/place/Munchers/data=!4m6!3m5!1s0x882b1593eafcecd9:0x665c060c77f20e99!8m2!3d43.682107!4d-79.779954!16s%2Fg%2F11k655_l71?authuser=0&hl=en&rclk=1
T.O.'s Kathi Roll Eatery Brampton West,4.0,805,https://www.google.com/maps/place/T.O.'s+Kathi+Roll+Eatery+Brampton+West/data=!4m6!3m5!1s0x882b32f097b30077:0xdc73dc69aea8d428!8m2!3d43.70287!4d-79.78546!16s%2Fg%2F12hkxyfbj?authuser=0&hl=en&rclk=1
Thinusha Take Out And Catering,3.9,793,https://www.google.com/maps/place/Thinusha+Take+Out+And+Catering/data=!4m6!3m5!1s0x882b3e26c4203345:0x9d44709a5863eb9d!8m2!3d43.6862584!4d-79.737553!16s%2Fg%2F1wk6_dgd?authuser=0&hl=en&rclk=1
Royal Paan,3.0,785,https://www.google.com/maps/place/Royal+Paan/data=!4m6!3m5!1s0x882b3d7e4dd39029:0x81ebc06faad931a8!8m2!3d43.7516224!4d-79.7384081!16s%2Fg%2F1tcz8yzq?authuser=0&hl=en&rclk=1
TADKA KING,4.7,763,https://www.google.com/maps/place/TADKA+KING/data=!4m6!3m5!1s0x882b150c5efcf703:0x30e5023efd3af21e!8m2!3d43.6862518!4d-79.7608626!16s%2Fg%2F11r_v7j0ng?authuser=0&hl=en&rclk=1
Karachi Kitchen,3.5,758,https://www.google.com/maps/place/Karachi+Kitchen/data=!4m6!3m5!1s0x882b14495ea565cb:0xfe9892c8a4a2dfc0!8m2!3d43.6922989!4d-79.7919801!16s%2Fg%2F1hc7hxtwg?authuser=0&hl=en&rclk=1
Dhaba Express,3.1,756,https://www.google.com/maps/place/Dhaba+Express/data=!4m6!3m5!1s0x882b141b01d24909:0xba25da255a62be92!8m2!3d43.7146134!4d-79.7794805!16s%2Fg%2F1tl7pbls?authuser=0&hl=en&rclk=1
Standard Sweets & Restaurant,3.7,750,https://www.google.com/maps/place/Standard+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b3fc6827a2b5d:0x4b1dd1b41392c682!8m2!3d43.659259!4d-79.7210076!16s%2Fg%2F1tgp1fl1?authuser=0&hl=en&rclk=1
Shriji Catering And Takeout,4.0,744,https://www.google.com/maps/place/Shriji+Catering+And+Takeout/data=!4m6!3m5!1s0x882b3e0ed16eef87:0x67666b9ef6214af!8m2!3d43.7040493!4d-79.7255573!16s%2Fg%2F11b6ljj_qk?authuser=0&hl=en&rclk=1
"Desi Tandoor Indian food Takeout, Delivery & Catering",4.4,741,"https://www.google.com/maps/place/Desi+Tandoor+Indian+food+Takeout,+Delivery+%26+Catering/data=!4m6!3m5!1s0x882b168e276e7d69:0x77724d6606c6b954!8m2!3d43.7280179!4d-79.7964352!16s%2Fg%2F11f2ry6m2v?authuser=0&hl=en&rclk=1"
